text,tokoh,date
"Wahai anggt DPR yg terhormat, kalian jangan cuma bisa minta laporan dan ngomong sj, turun ke lapangan, liat keadaan rakyat gmn? 
Pajak dari rakyat, sekarang rakyat lg kesulitan. 
Dagangan sepi, petani hasil panen juga tdk terserap pasar dengan baik. 
Boro2 mikin pajak, beli beras buat makan saja kadang ada kadang ga ada. Mikir kalian",Purbaya Yudhi Sadewa,2025-12-05T02:20:41Z
DPR Okeh omong e KERJANYA NOL,Purbaya Yudhi Sadewa,2025-12-05T01:35:56Z
DPR. Sih gak bayar Pajak,Purbaya Yudhi Sadewa,2025-12-05T01:19:58Z
Dpr nggak mikir ekonomi lagi tidak baik,Purbaya Yudhi Sadewa,2025-12-05T01:14:31Z
"anggota DPR semua ahli ekonomi semua, tp ekonomi yg tdk jls , yg jelasnya uang rakyat bnyk yg di manipulasi!",Purbaya Yudhi Sadewa,2025-12-05T00:53:13Z
DPR kmr2 hanya  dikibulin srimulyani seolah2 bagus semua laporannya  kenyataannya apa hancur kan ekonominya.,Purbaya Yudhi Sadewa,2025-12-05T00:40:42Z
maka otak lu jangan koropsi meluluh  pikirkan rakyat yg lagi sulit kami udah tak butuh dpr yg banyak bacot yg ngak ada  manfaatnya  kami mohon kpd bpk presiden  bubarkan dpr yg tak berguna ini,Purbaya Yudhi Sadewa,2025-12-05T00:36:42Z
Jangan pajak saja yang diperhatikan untok pemasukan  negara mestinya sektor 2 yg laen terutama tambang tambang apa sudah benar cara pengelolaannya.,Purbaya Yudhi Sadewa,2025-12-05T00:18:39Z
Panjang umur sehat selalu pak Purbaya pejuang rakyat indonesia,Purbaya Yudhi Sadewa,2025-12-05T00:10:51Z
Ternak nenek lampir setelah 10 th membisu sekarang belajar mbacot.,Purbaya Yudhi Sadewa,2025-12-05T00:04:45Z
Entar klo pajak udah terkumpul gampanglahhhh,Purbaya Yudhi Sadewa,2025-12-04T23:55:14Z
Knp harus pajaksja  memoeroleh uang untuk APBN ? Jdi seluruhnya  uanh fari rakyart semua? Kemana hasi  kekayaanalam emaa nekel batubara timah  sawit  dan dllnya kemana  ? Siapa yg makan,Purbaya Yudhi Sadewa,2025-12-04T23:41:39Z
"10 pdip memerintah negara amburadul, sekarang sok jadi pahlawan",Purbaya Yudhi Sadewa,2025-12-04T23:40:19Z
Dpr pinter tapi ngeminteri RAKYAT,Purbaya Yudhi Sadewa,2025-12-04T22:06:32Z
dulu mentri srimul ngapain aja ya? Pak Mentri Purbaya kelihatan kerja keras pro rakyat,Purbaya Yudhi Sadewa,2025-12-04T21:59:04Z
Hukuman mati dan perampasan aset bagi para koruptor harus segera disahkan jangan ditunda-tunda lagi jangan banyak omon omon karyawan DPR,Purbaya Yudhi Sadewa,2025-12-04T19:02:49Z
"mantap keren sentilannya pak Purbaya, sehat selalu pak Purbaya",Purbaya Yudhi Sadewa,2025-12-04T17:46:42Z
Kpn rapelan pensiunan pak,Purbaya Yudhi Sadewa,2025-12-04T15:17:55Z
Cara nanya dan kosa kata berikut juga narasi ada ikut tatanan seperti seorang yang lulusan sekolah .. gak usah omong kalau cuma omong macam ini ..?????,Purbaya Yudhi Sadewa,2025-12-04T14:11:51Z
